id;kategorie;frage;runde;gedeckt;beanstandungen;verlauf;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
1;nachbarthema;Gilt der GAV für Chefärzte?;2;False;Chefärzte werden in den genannten Ausnahmen nicht explizit genannt.;Runde 1 Entwurf USB: Der GAV gilt für Chefärzte am Universitätsspital Basel nicht, da diese der Kategorie der Führungs- und Fachkader gemäss spitalspezifischer Regelung des Verwaltungsrats zugeordnet sind und somit ausgenommen sind. || Runde 1 Kritik: gedeckt=False, beanstandet=['Der GAV gilt für Chefärzte am Universitätsspital Basel nicht, da diese der Kategorie der Führungs- und Fachkader gemäss spitalspezifischer Regelung des Verwaltungsrats zugeordnet sind und somit ausgenommen sind.'] || Runde 2 Entwurf USB: Der GAV gilt für voll- und teilzeitbeschäftigte Mitarbeitende des Universitätsspitals Basel, der Universitären Psychiatrischen Kliniken Basel und des Felix Platter-Spitals. Dem GAV sind nicht unterstellt: a. Mitglieder der Geschäfts- bzw. Spitalleitung, b. Führungs- und Fachkader gemäss spitalspezifischer Regelung des Verwaltungsrats (Funktionen werden betrieblich benannt.) und c. Personal in Ausbildung und Praktikanten. Chefärzte werden in den genannten Ausnahmen nicht explizit genannt. || Runde 2 Kritik: gedeckt=False, beanstandet=['Chefärzte werden in den genannten Ausnahmen nicht explizit genannt.'];96.15;89.99;6309;778;0.0;0;;True;True;;;Der GAV gilt für voll- und teilzeitbeschäftigte Mitarbeitende des Universitätsspitals Basel, der Universitären Psychiatrischen Kliniken Basel und des Felix Platter-Spitals. Dem GAV sind nicht unterstellt: a. Mitglieder der Geschäfts- bzw. Spitalleitung, b. Führungs- und Fachkader gemäss spitalspezifischer Regelung des Verwaltungsrats (Funktionen werden betrieblich benannt.) und c. Personal in Ausbildung und Praktikanten. Chefärzte werden in den genannten Ausnahmen nicht explizit genannt.;True;True;nicht;;Der GAV gilt für das gesamte voll- und teilzeitlich beschäftigte Personal des Kantonsspitals Baselland und der Psychiatrie Baselland mit Ausnahme der in den beiden folgenden Absätzen genannten Personalkategorien. Dazu gehören unter anderem leitende Ärzte/Ärztinnen, Chefärzte/Chefärztinnen, das übrige Personal auf vergleichbarer Stufe und die Mitglieder der Geschäftsleitung. Chefärzte werden in dieser Liste explizit genannt.
2;tabelle;Was bekomme ich nach 20 Dienstjahren?;1;True;;Runde 1 Entwurf USB: Nach 20 Dienstjahren erhält man am Universitätsspital Basel ein Dienstaltersgeschenk in Höhe des Monatslohns von einer halben oder in Tagen 10. || Runde 1 Kritik: gedeckt=True, beanstandet=[];43.33;39.73;3807;289;0.0;0;;True;True;;;Nach 20 Dienstjahren erhält man am Universitätsspital Basel ein Dienstaltersgeschenk in Höhe des Monatslohns von einer halben oder in Tagen 10.;True;True;;;"Am Kantonsspital Baselland erhält man nach 20 Dienstjahren eine Treuprämie von CHF 3'000.--; die Auszahlung erfolgt entsprechend dem Beschäftigungsgrad der letzten 5 Dienstjahre."
3;nachbarthema;Wie ist der Vaterschaftsurlaub geregelt?;2;True;;Runde 1 Entwurf USB: Der Vaterschaftsurlaub beträgt 10 Tage. Wenn vom Mitarbeiter gewünscht und betrieblich möglich, wird zusätzlich zu diesen 10 Tagen ein unbezahlter Urlaub von bis zu 20 Tagen gewährt, welcher in der Regel im 1. Lebensjahr des Kindes bezogen werden muss. || Runde 1 Kritik: gedeckt=False, beanstandet=['welcher in der Regel im 1. Lebensjahr des Kindes bezogen werden muss'] || Runde 2 Entwurf USB: Der Vaterschaftsurlaub beträgt 10 Tage. Der Arbeitgeber unterstützt einen längeren, unbezahlten Vaterschaftsurlaub. Wenn vom Mitarbeiter gewünscht und betrieblich möglich, wird deshalb zusätzlich zu diesen 10 Tagen ein unbezahlter Urlaub von bis zu 20 Tagen gewährt. || Runde 2 Kritik: gedeckt=True, beanstandet=[];79.47;76.36;5476;683;0.0;0;;True;True;;;Der Vaterschaftsurlaub beträgt 10 Tage. Der Arbeitgeber unterstützt einen längeren, unbezahlten Vaterschaftsurlaub. Wenn vom Mitarbeiter gewünscht und betrieblich möglich, wird deshalb zusätzlich zu diesen 10 Tagen ein unbezahlter Urlaub von bis zu 20 Tagen gewährt.;False;True;10|zehn;zwölf Monaten|12 Monaten;"Den Mitarbeitenden wird in den ersten zwei Jahren nach der Geburt eines Kindes auf Gesuch hin unbezahlter Urlaub bis zu zwölf Monaten gewährt. Der Urlaub kann von der Mutter oder vom Vater bezogen werden; sind beide Eltern beim Arbeitgeber angestellt, kann der Urlaub auch zwischen den Eltern aufgeteilt werden."
4;nachbarthema;Wie lange ist die Kündigungsfrist während der Probezeit?;2;True;;Runde 1 Entwurf USB: Während der Probezeit beträgt die Kündigungsfrist 7 Tage, jeweils auf das Ende einer Kalenderwoche. Während einer verlängerten Probezeit beträgt die Kündigungsfrist 30 Tage auf Monatsende. || Runde 1 Kritik: gedeckt=False, beanstandet=['Während einer verlängerten Probezeit beträgt die Kündigungsfrist 30 Tage auf Monatsende.'] || Runde 2 Entwurf USB: Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Die Kündigungsfrist während der Probezeit beträgt 7 Tage, jeweils auf das Ende einer Kalenderwoche. || Runde 2 Kritik: gedeckt=True, beanstandet=[];66.34;63.31;5341;537;0.0;0;;True;True;;3 Monate|drei Monate;Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Die Kündigungsfrist während der Probezeit beträgt 7 Tage, jeweils auf das Ende einer Kalenderwoche.;True;True;;;Für alle Arbeitsverhältnisse gelten die ersten drei Monate als Probezeit. Während dieser Zeit kann der Einzelarbeitsvertrag beidseitig jederzeit unter Einhaltung einer Kündigungsfrist von sieben Kalendertagen gekündigt werden.
5;beide;Gilt der GAV für Praktikanten?;1;True;;Runde 1 Entwurf USB: Der GAV gilt beim Universitätsspital Basel nicht für Personal in Ausbildung und Praktikanten. Für diese gelten die einschlägigen Ausbildungsbestimmungen und die gesetzlichen Grundlagen des Berufsbildungsgesetzes. || Runde 1 Kritik: gedeckt=True, beanstandet=[];36.93;31.46;3133;206;0.0;0;;True;True;;;Der GAV gilt beim Universitätsspital Basel nicht für Personal in Ausbildung und Praktikanten. Für diese gelten die einschlägigen Ausbildungsbestimmungen und die gesetzlichen Grundlagen des Berufsbildungsgesetzes.;True;True;;;Beim Kantonsspital Baselland gilt der GAV nicht für Praktikanten/Praktikantinnen.
6;beide;Wie lange dauert die Probezeit?;1;True;;Runde 1 Entwurf USB: Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Eine Verlängerung um maximal weitere 3 Monate kann schriftlich im gegenseitigen Einvernehmen vereinbart werden. || Runde 1 Kritik: gedeckt=True, beanstandet=[];35.17;31.52;2548;212;0.0;0;;True;True;;;Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Eine Verlängerung um maximal weitere 3 Monate kann schriftlich im gegenseitigen Einvernehmen vereinbart werden.;True;True;;;Für alle Arbeitsverhältnisse gelten die ersten drei Monate als Probezeit.
7;beide;Wie lange ist die Kündigungsfrist nach der Probezeit?;2;False;Nach Ablauf der Probezeit betragen die Fristen für die Kündigung des Arbeitsverhältnisses für beide Vertragsparteien im ersten Anstellungsjahr 1 Monat und ab zweitem Anstellungsjahr 3 Monate.;Runde 1 Entwurf USB: Nach Ablauf der Probezeit betragen die Kündigungsfristen für beide Vertragsparteien im ersten Anstellungsjahr einen Monat und ab dem zweiten Anstellungsjahr drei Monate. Im Anstellungsvertrag kann eine längere Kündigungsfrist, maximal aber sechs Monate, vereinbart werden. || Runde 1 Kritik: gedeckt=False, beanstandet=['Nach Ablauf der Probezeit betragen die Kündigungsfristen für beide Vertragsparteien im ersten Anstellungsjahr einen Monat und ab dem zweiten Anstellungsjahr drei Monate.'] || Runde 2 Entwurf USB: Nach Ablauf der Probezeit betragen die Fristen für die Kündigung des Arbeitsverhältnisses für beide Vertragsparteien im ersten Anstellungsjahr 1 Monat und ab zweitem Anstellungsjahr 3 Monate. Im Anstellungsvertrag kann eine längere Kündigungsfrist, maximal aber 6 Monate, vereinbart werden. Die Kündigung kann jeweils auf Ende eines Monates erfolgen, sofern kein besonderer Kündigungstermin vereinbart wurde. || Runde 2 Kritik: gedeckt=False, beanstandet=['Nach Ablauf der Probezeit betragen die Fristen für die Kündigung des Arbeitsverhältnisses für beide Vertragsparteien im ersten Anstellungsjahr 1 Monat und ab zweitem Anstellungsjahr 3 Monate.'];81.41;78.06;5431;711;0.0;0;;True;True;;;Nach Ablauf der Probezeit betragen die Fristen für die Kündigung des Arbeitsverhältnisses für beide Vertragsparteien im ersten Anstellungsjahr 1 Monat und ab zweitem Anstellungsjahr 3 Monate. Im Anstellungsvertrag kann eine längere Kündigungsfrist, maximal aber 6 Monate, vereinbart werden. Die Kündigung kann jeweils auf Ende eines Monates erfolgen, sofern kein besonderer Kündigungstermin vereinbart wurde.;True;True;;;Nach Ablauf der Probezeit kann das Arbeitsverhältnis von beiden Seiten mit einer Frist von drei Monaten, jeweils auf ein Monatsende gekündigt werden. Die Kündigung muss am letzten Werktag vor Beginn der Kündigungsfrist von der Gegenseite empfangen sein.
8;beide;Wie viele Ferientage habe ich pro Jahr?;2;True;;Runde 1 Entwurf USB: Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in welchem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage. || Runde 1 Kritik: gedeckt=False, beanstandet=['Der Ferienanspruch pro Kalenderjahr beträgt: bis 20 Jahre 30 Arbeitstage, 21 bis 49 Jahre 25 Arbeitstage, 50 bis 59 Jahre 27 Arbeitstage und 60 bis Pensionierung 30 Arbeitstage.'] || Runde 2 Entwurf USB: Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in welchem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage. Bei Arbeitseintritt oder -austritt im Laufe des Kalenderjahres ist die Feriendauer anteilig zu bemessen. Bei Arbeitsunfähigkeit werden ab dem 4. Monat die Ferien um je 1/12 pro Abwesenheitsmonat gekürzt. || Runde 2 Kritik: gedeckt=True, beanstandet=[];106.82;103.6;5923;1002;0.0;0;;True;True;;;Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in welchem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage. Bei Arbeitseintritt oder -austritt im Laufe des Kalenderjahres ist die Feriendauer anteilig zu bemessen. Bei Arbeitsunfähigkeit werden ab dem 4. Monat die Ferien um je 1/12 pro Abwesenheitsmonat gekürzt.;True;True;;;"Der Ferienanspruch pro Kalenderjahr beträgt: bis 20 Jahre 30 Arbeitstage; 21 bis 49 Jahre: 25 Arbeitstage; 50 bis 59 Jahre: 27 Arbeitstage; 60 bis Pensionierung: 30 Arbeitstage. Massgebend ist das Kalenderjahr, in dem das jeweilige Altersjahr vollendet wird. Für Feiertage und arbeitsfreie Tage gilt die Regelung am Arbeitsort. Die Mitarbeitenden haben Anspruch auf elf Feiertage/arbeitsfreie Tage pro Jahr. Feiertage/arbeitsfreie Tage, die in die Ferien fallen, können nachbezogen werden. Feiertage sind den Sonntagen gleichgestellt. Die Ferien sind im gegenseitigen Einvernehmen frühzeitig festzulegen. Mindestens zwei Wochen der jährlich zustehenden Ferien sind zusammenhängend zu beziehen. Der Ferienanspruch wird für das Kalenderjahr berechnet."
9;beide;Habe ich Anspruch auf einen dreizehnten Monatslohn?;1;True;;Runde 1 Entwurf USB: Der Jahreslohn wird in 13 Monatslöhnen ausbezahlt. Mitarbeitende, die im Laufe eines Kalenderjahres ihre Tätigkeit aufnehmen oder aufgeben, haben Anspruch pro rata temporis auf den 13. Monatslohn. || Runde 1 Kritik: gedeckt=True, beanstandet=[];42.08;38.84;2514;305;0.0;0;;True;True;;;Der Jahreslohn wird in 13 Monatslöhnen ausbezahlt. Mitarbeitende, die im Laufe eines Kalenderjahres ihre Tätigkeit aufnehmen oder aufgeben, haben Anspruch pro rata temporis auf den 13. Monatslohn.;True;True;;;Die Mitarbeitenden haben Anspruch auf einen 13. Monatslohn, der jeweils mit dem Novemberlohn zur Auszahlung gelangt. Im Eintritts- und im Austrittsjahr besteht ein anteilmässiger Anspruch entsprechend der effektiven Dauer des Arbeitsverhältnisses im betreffenden Kalenderjahr.
10;beide;Wie lange wird der Lohn bei Krankheit weiterbezahlt?;1;True;;Runde 1 Entwurf USB: Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. Diese beträgt während der Dauer der Anstellung 100% des vertraglich vereinbarten Lohnes (Nettolohnprinzip), danach 80%. Beim befristeten Arbeitsverhältnis besteht die Lohnfortzahlung nur dann, wenn das Arbeitsverhältnis für mehr als 6 Monate eingegangen wurde oder mehr als 6 Monate gedauert hat. || Runde 1 Kritik: gedeckt=True, beanstandet=[];50.9;47.71;3295;398;0.0;0;;True;True;;;Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. Diese beträgt während der Dauer der Anstellung 100% des vertraglich vereinbarten Lohnes (Nettolohnprinzip), danach 80%. Beim befristeten Arbeitsverhältnis besteht die Lohnfortzahlung nur dann, wenn das Arbeitsverhältnis für mehr als 6 Monate eingegangen wurde oder mehr als 6 Monate gedauert hat.;True;True;;;Bei krankheitsbedingter Abwesenheit erhalten die Mitarbeitenden ein Krankentaggeld in der Höhe von 100% des Nettolohnes (zuzüglich allfälliger Sozialzulagen) ausbezahlt. Das Taggeld wird für 730 Tage ab Beginn einer Krankheit gewährt, sofern die Krankheit nicht vorsätzlich oder grobfahrlässig verursacht worden ist.
