id;kategorie;frage;runde;gedeckt;beanstandungen;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
1;nachbarthema;Gilt der GAV für Chefärzte?;1;;;40.87;36.7;1401;214;0.0;0;;True;True;betrieblich;;Der GAV gilt für Chefärzte am Universitätsspital Basel nicht, da diese der Gruppe der Führungs- und Fachkader gemäss spitalspezifischer Regelung des Verwaltungsrats angehören und somit von der Geltung ausgeschlossen sind.;True;True;;;Der GAV gilt für Chefärzte am Kantonsspital Baselland nicht, da diese in Absatz 2 als Personal auf vergleichbarer Stufe wie Chefärzte/Chefärztinnen explizit von der Geltung ausgeschlossen sind.
2;tabelle;Was bekomme ich nach 20 Dienstjahren?;1;;;39.16;35.58;1804;197;0.0;0;;True;True;;;Nach 20 Dienstjahren erhält man am Universitätsspital Basel ein Dienstaltersgeschenk in Höhe des Monatslohns von einer halben oder in Tagen 10.;True;True;;;"Am Kantonsspital Baselland erhält man nach 20 Dienstjahren eine Treuprämie von CHF 3'000.--; die Auszahlung erfolgt entsprechend dem Beschäftigungsgrad der letzten 5 Dienstjahre."
3;nachbarthema;Wie ist der Vaterschaftsurlaub geregelt?;1;;;42.73;39.05;1211;236;0.0;0;;True;True;;;Der Vaterschaftsurlaub beträgt 10 Tage. Wenn vom Mitarbeiter gewünscht und betrieblich möglich, wird zusätzlich zu diesen 10 Tagen ein unbezahlter Urlaub von bis zu 20 Tagen gewährt, welcher in der Regel im 1. Lebensjahr des Kindes bezogen werden muss.;False;True;10|zehn;zwölf Monaten|12 Monaten;"Den Mitarbeitenden wird in den ersten zwei Jahren nach der Geburt eines Kindes auf Gesuch hin unbezahlter Urlaub bis zu zwölf Monaten gewährt. Der Urlaub kann von der Mutter oder vom Vater bezogen werden; sind beide Eltern beim Arbeitgeber angestellt, kann der Urlaub auch zwischen den Eltern aufgeteilt werden."
4;nachbarthema;Wie lange ist die Kündigungsfrist während der Probezeit?;1;;;36.94;33.37;1198;189;0.0;0;;True;True;;;Während der Probezeit beträgt die Kündigungsfrist 7 Tage, jeweils auf das Ende einer Kalenderwoche. Während einer verlängerten Probezeit beträgt die Kündigungsfrist 30 Tage auf Monatsende.;True;True;;;Während der Probezeit kann der Einzelarbeitsvertrag beidseitig jederzeit unter Einhaltung einer Kündigungsfrist von sieben Kalendertagen gekündigt werden.
5;beide;Gilt der GAV für Praktikanten?;1;;;36.41;32.76;1477;177;0.0;0;;True;True;;;Der GAV gilt beim Universitätsspital Basel nicht für Personal in Ausbildung und Praktikanten. Für diese gelten die einschlägigen Ausbildungsbestimmungen und die gesetzlichen Grundlagen des Berufsbildungsgesetzes.;True;True;;;Beim Kantonsspital Baselland gilt der GAV nicht für Praktikanten/Praktikantinnen.
6;beide;Wie lange dauert die Probezeit?;1;;;35.26;31.69;1192;162;0.0;0;;True;True;;;Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Eine Verlängerung um maximal weitere 3 Monate kann schriftlich im gegenseitigen Einvernehmen vereinbart werden.;True;True;;;Für alle Arbeitsverhältnisse gelten die ersten drei Monate als Probezeit.
7;beide;Wie lange ist die Kündigungsfrist nach der Probezeit?;1;;;38.85;35.18;1198;199;0.0;0;;True;True;;;Nach Ablauf der Probezeit betragen die Kündigungsfristen für beide Vertragsparteien im ersten Anstellungsjahr einen Monat und ab dem zweiten Anstellungsjahr drei Monate. Im Anstellungsvertrag kann eine längere Kündigungsfrist, maximal aber sechs Monate, vereinbart werden.;True;True;;;Nach Ablauf der Probezeit kann das Arbeitsverhältnis von beiden Seiten mit einer Frist von drei Monaten, jeweils auf ein Monatsende gekündigt werden.
8;beide;Wie viele Ferientage habe ich pro Jahr?;1;;;41.79;38.23;1261;238;0.0;0;;True;True;;;Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in dem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage.;True;True;;;Der Ferienanspruch pro Kalenderjahr beträgt: bis 20 Jahre 30 Arbeitstage, 21 bis 49 Jahre 25 Arbeitstage, 50 bis 59 Jahre 27 Arbeitstage und 60 bis Pensionierung 30 Arbeitstage.
9;beide;Habe ich Anspruch auf einen dreizehnten Monatslohn?;1;;;41.0;37.31;1143;226;0.0;0;;True;True;;;Der Jahreslohn wird in 13 Monatslöhnen ausbezahlt. Mitarbeitende, die im Laufe eines Kalenderjahres ihre Tätigkeit aufnehmen oder aufgeben, haben Anspruch pro rata temporis auf den 13. Monatslohn.;True;True;;;Die Mitarbeitenden haben Anspruch auf einen 13. Monatslohn, der jeweils mit dem Novemberlohn zur Auszahlung gelangt. Im Eintritts- und im Austrittsjahr besteht ein anteilmässiger Anspruch entsprechend der effektiven Dauer des Arbeitsverhältnisses im betreffenden Kalenderjahr.
10;beide;Wie lange wird der Lohn bei Krankheit weiterbezahlt?;1;;;49.89;45.93;1499;296;0.0;0;;True;True;;;Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. Diese beträgt während der Dauer der Anstellung 100% des vertraglich vereinbarten Lohnes (Nettolohnprinzip), danach 80%. Beim befristeten Arbeitsverhältnis besteht die Lohnfortzahlung nur dann, wenn das Arbeitsverhältnis für mehr als 6 Monate eingegangen wurde oder mehr als 6 Monate gedauert hat.;True;True;;;Bei krankheitsbedingter Abwesenheit erhalten die Mitarbeitenden ein Krankentaggeld in der Höhe von 100% des Nettolohnes (zuzüglich allfälliger Sozialzulagen) ausbezahlt. Das Taggeld wird für 730 Tage ab Beginn einer Krankheit gewährt, sofern die Krankheit nicht vorsätzlich oder grobfahrlässig verursacht worden ist.
11;beide;Wie hoch ist die Abfindung bei einer Kündigung?;1;;;42.44;38.83;1209;240;0.0;0;;True;True;;;Eine Abfindung wird im Falle einer ordentlichen Kündigung gemäss 2.3.2 b ausgerichtet. Ebenfalls kann bei einer Auflösung des Arbeitsverhältnisses im gegenseitigen Einvernehmen gemäss 2.3.7 eine Abfindung ausgerichtet werden. Als Berechnungskriterien kommen Lebensalter, Anstellungsdauer sowie die individuellen sozialen Verhältnisse der betroffenen Person zur Anwendung.;True;True;;;Wenn das Arbeitsverhältnis im gegenseitigen Einvernehmen aufgelöst wird, kann eine Abgangsentschädigung zugesprochen werden. Diese beträgt maximal zwölf Monatslöhne und muss vom CEO bewilligt werden.
