id;kategorie;frage;runde;gedeckt;beanstandungen;verlauf;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
1;nachbarthema;Gilt der GAV für Chefärzte?;2;False;Der GAV gilt für Chefärzte im Universitätsspital Basel, da diese Gruppe nicht explizit ausgeschlossen wird.;Runde 1 Entwurf USB: Die Belegstellen des USB geben keine spezifische Auskunft darüber, ob der GAV für Chefärzte gilt. || Runde 1 Kritik USB: gedeckt=False, beanstandet=['Die Aussage ist inkorrekt, da die Belegstellen spezifisch darauf hinweisen, dass der GAV für Chefärzte nicht gilt.'] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[] || Runde 2 Entwurf USB: Der GAV gilt für Chefärzte im Universitätsspital Basel, da diese Gruppe nicht explizit ausgeschlossen wird. || Runde 2 Kritik USB: gedeckt=False, beanstandet=['Der GAV gilt für Chefärzte im Universitätsspital Basel, da diese Gruppe nicht explizit ausgeschlossen wird.'] || Runde 2 Kritik KSBL: gedeckt=True, beanstandet=[];94.72;94.48;10001;623;0.0;0;;True;True;Führungs- und Fachkader | betrieblich;;Der GAV gilt für Chefärzte im Universitätsspital Basel, da diese Gruppe nicht explizit ausgeschlossen wird.;True;True;;;Der GAV gilt für Chefärzte im Kantonsspital Baselland nicht, da diese Gruppe explizit ausgeschlossen wird.
2;tabelle;Was bekomme ich nach 20 Dienstjahren?;1;True;;Runde 1 Entwurf USB: Nach 20 Dienstjahren erhält man von USB ein Geschenk im Wert eines halben Monatslohn oder in Tagen 10. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];52.82;52.67;6321;338;0.0;0;;True;True;;;Nach 20 Dienstjahren erhält man von USB ein Geschenk im Wert eines halben Monatslohn oder in Tagen 10.;True;True;;;Nach 20 Dienstjahren erhält man von KSBL eine Treueprämie in Höhe von CHF 3'000.--.
3;nachbarthema;Wie ist der Vaterschaftsurlaub geregelt?;2;False;Der Arbeitgeber unterstützt einen längeren, unbezahlten Urlaub von bis zu 20 Tagen im ersten Lebensjahr des Kindes | Den Mitarbeitenden wird in den ersten zwei Jahren nach der Geburt eines Kindes unbezahlter Urlaub bis zu zwölf Monaten gewährt, der vom Vater oder Mutter bezogen werden kann.;Runde 1 Entwurf USB: Der Vaterschaftsurlaub beträgt 10 Tage. Zusätzlich wird ein unbezahlter Urlaub von bis zu 20 Tagen gewährt, wenn vom Mitarbeiter gewünscht und betrieblich möglich. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=False, beanstandet=['Der Vaterschaftsurlaub beträgt bis zu zwölf Monate unbezahlten Urlaub im ersten Lebensjahr des Kindes, der vom Vater oder Mutter bezogen werden kann.'] || Runde 2 Entwurf USB: Der Vaterschaftsurlaub beträgt 10 Tage. Der Arbeitgeber unterstützt einen längeren, unbezahlten Urlaub von bis zu 20 Tagen im ersten Lebensjahr des Kindes. || Runde 2 Kritik USB: gedeckt=False, beanstandet=['Der Arbeitgeber unterstützt einen längeren, unbezahlten Urlaub von bis zu 20 Tagen im ersten Lebensjahr des Kindes'] || Runde 2 Kritik KSBL: gedeckt=False, beanstandet=['Den Mitarbeitenden wird in den ersten zwei Jahren nach der Geburt eines Kindes unbezahlter Urlaub bis zu zwölf Monaten gewährt, der vom Vater oder Mutter bezogen werden kann.'];115.71;115.56;8780;881;0.0;0;;True;True;;;Der Vaterschaftsurlaub beträgt 10 Tage. Der Arbeitgeber unterstützt einen längeren, unbezahlten Urlaub von bis zu 20 Tagen im ersten Lebensjahr des Kindes.;False;True;10|zehn;zwölf Monaten|12 Monaten;Den Mitarbeitenden wird in den ersten zwei Jahren nach der Geburt eines Kindes unbezahlter Urlaub bis zu zwölf Monaten gewährt, der vom Vater oder Mutter bezogen werden kann.
4;nachbarthema;Wie lange ist die Kündigungsfrist während der Probezeit?;1;True;;Runde 1 Entwurf USB: Die Kündigungsfrist während der Probezeit beträgt 7 Tage, jeweils auf das Ende einer Kalenderwoche. Bei einer verlängerten Probezeit beträgt die Kündigungsfrist 30 Tage auf Monatsende. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];50.03;49.89;4232;336;0.0;0;;True;True;;;Die Kündigungsfrist während der Probezeit beträgt 7 Tage, jeweils auf das Ende einer Kalenderwoche. Bei einer verlängerten Probezeit beträgt die Kündigungsfrist 30 Tage auf Monatsende.;True;True;sieben Kalendertagen|7 Kalendertagen;;Während der Probezeit kann das Arbeitsverhältnis jederzeit gekündigt werden, wobei die Kündigungsfrist sieben Kalendertage beträgt.
5;beide;Gilt der GAV für Praktikanten?;1;True;;Runde 1 Entwurf USB: Der GAV des USB gilt nicht für Praktikanten, die nach den einschlägigen Ausbildungsbestimmungen und dem Berufsbildungsgesetz behandelt werden. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];51.74;51.61;5211;332;0.0;0;;True;True;;;Der GAV des USB gilt nicht für Praktikanten, die nach den einschlägigen Ausbildungsbestimmungen und dem Berufsbildungsgesetz behandelt werden.;True;True;;;Der GAV des KSBL gilt nicht für Praktikanten, die bis zu einer maximalen Anstellungsdauer von 3 Monaten zählen.
6;beide;Wie lange dauert die Probezeit?;1;True;;Runde 1 Entwurf USB: Die Probezeit bei USB beträgt drei Monate. Eine Verlängerung um maximal weitere drei Monate ist schriftlich vereinbar. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];37.56;37.43;4166;248;0.0;0;;True;True;;;Die Probezeit bei USB beträgt drei Monate. Eine Verlängerung um maximal weitere drei Monate ist schriftlich vereinbar.;True;True;;;Die Probezeit bei KSBL beträgt ebenfalls drei Monate.
7;beide;Wie lange ist die Kündigungsfrist nach der Probezeit?;1;True;;Runde 1 Entwurf USB: Nach Ablauf der Probezeit beträgt die Kündigungsfrist für beide Vertragsparteien im ersten Anstellungsjahr ein Monat und ab dem zweiten Anstellungsjahr drei Monate. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];46.82;46.68;4216;313;0.0;0;;True;True;;;Nach Ablauf der Probezeit beträgt die Kündigungsfrist für beide Vertragsparteien im ersten Anstellungsjahr ein Monat und ab dem zweiten Anstellungsjahr drei Monate.;True;True;Monatsende;;Nach Ablauf der Probezeit kann das Arbeitsverhältnis von beiden Seiten mit einer Frist von drei Monaten gekündigt werden.
8;beide;Wie viele Ferientage habe ich pro Jahr?;2;False;Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in dem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage.;Runde 1 Entwurf USB: Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr und erhöht sich im Alter auf bis zu 32 Tage. || Runde 1 Kritik USB: gedeckt=False, beanstandet=['erhöht sich im Alter auf bis zu 32 Tage'] || Runde 1 Kritik KSBL: gedeckt=False, beanstandet=['Der Ferienanspruch beträgt pro Kalenderjahr 25 Arbeitstage für Mitarbeiter zwischen 21 und 49 Jahren, 27 Tage für Mitarbeiter zwischen 50 und 59 Jahren sowie 30 Tage ab dem 60. Lebensjahr.'] || Runde 2 Entwurf USB: Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in dem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage. || Runde 2 Kritik USB: gedeckt=False, beanstandet=['Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in dem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage.'] || Runde 2 Kritik KSBL: gedeckt=True, beanstandet=[];161.1;160.97;9172;1082;0.0;0;;True;True;;;Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in dem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage.;True;True;;;"Der Ferienanspruch pro Kalenderjahr beträgt: Bis 20 Jahre: 30 Arbeitstage; 21 bis 49 Jahre: 25 Arbeitstage; 50 bis 59 Jahre: 27 Arbeitstage; 60 bis Pensionierung: 30 Arbeitstage."
9;beide;Habe ich Anspruch auf einen dreizehnten Monatslohn?;1;True;;Runde 1 Entwurf USB: Der Jahreslohn wird in 13 Monatslöhnen ausbezahlt. Mitarbeitende, die im Laufe eines Kalenderjahres ihre Tätigkeit aufnehmen oder aufgeben, haben Anspruch pro rata temporis auf den 13. Monatslohn. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=True, beanstandet=[];52.32;52.18;4104;351;0.0;0;;True;True;;;Der Jahreslohn wird in 13 Monatslöhnen ausbezahlt. Mitarbeitende, die im Laufe eines Kalenderjahres ihre Tätigkeit aufnehmen oder aufgeben, haben Anspruch pro rata temporis auf den 13. Monatslohn.;True;True;;;Die Mitarbeitenden haben Anspruch auf einen 13. Monatslohn, der jeweils mit dem Novemberlohn zur Auszahlung gelangt. Im Eintritts- und im Austrittsjahr besteht ein anteilmässiger Anspruch entsprechend der effektiven Dauer des Arbeitsverhältnisses im betreffenden Kalenderjahr.
10;beide;Wie lange wird der Lohn bei Krankheit weiterbezahlt?;2;True;;Runde 1 Entwurf USB: Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. || Runde 1 Kritik USB: gedeckt=True, beanstandet=[] || Runde 1 Kritik KSBL: gedeckt=False, beanstandet=['für 730 Tage'] || Runde 2 Entwurf USB: Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. Diese beträgt während der Dauer der Anstellung 100% des vertraglich vereinbarten Lohnes (Nettolohnprinzip), danach 80%. Bei befristeten Arbeitsverhältnissen gibt es zusätzliche Bestimmungen. || Runde 2 Kritik USB: gedeckt=True, beanstandet=[] || Runde 2 Kritik KSBL: gedeckt=True, beanstandet=[];129.97;129.84;11076;837;0.0;0;;True;True;;;Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. Diese beträgt während der Dauer der Anstellung 100% des vertraglich vereinbarten Lohnes (Nettolohnprinzip), danach 80%. Bei befristeten Arbeitsverhältnissen gibt es zusätzliche Bestimmungen.;True;True;;;Bei krankheitsbedingter Abwesenheit erhalten die Mitarbeitenden ein Krankentaggeld in der Höhe von 100% des Nettolohnes (zuzüglich allfälliger Sozialzulagen) ausbezahlt. Das Taggeld wird für 730 Tage ab Beginn einer Krankheit gewährt, sofern die Krankheit nicht vorsätzlich oder grobfahrlässig verursacht worden ist.
