id;kategorie;frage;runde;gedeckt;beanstandungen;dauer_gesamt_s;dauer_modell_s;tokens_prompt;tokens_antwort;kosten_chf;maengel_anzahl;maengel;usb_ziffer;usb_beantwortet_ok;usb_muss_fehlend;usb_verboten;usb_text;ksbl_ziffer;ksbl_beantwortet_ok;ksbl_muss_fehlend;ksbl_verboten;ksbl_text
1;nachbarthema;Gilt der GAV für Chefärzte?;3;False;Der GAV des Kantonsspitals Baselland gilt nicht für Chefärzte/Chefärztinnen, da diese in Ziffer 2 der Belegstelle 5 explizit als Ausnahme genannt werden.;106.53;103.91;9453;1075;0.0;1;KSBL nennt Belegstelle 5, die es nicht gibt;True;False;Führungs- und Fachkader | betrieblich;;Die Belegstellen des Universitätsspitals Basel geben zu der Frage, ob der GAV für Chefärzte gilt, keine Auskunft.;True;True;;;Der GAV des Kantonsspitals Baselland gilt nicht für Chefärzte/Chefärztinnen, da diese in Ziffer 2 der Belegstelle 5 explizit als Ausnahme genannt werden. Der GAV gilt für das gesamte voll- und teilzeitlich beschäftigte Personal des Kantonsspitals Baselland und der Psychiatrie Baselland mit Ausnahme bestimmter Personalkategorien.
2;tabelle;Was bekomme ich nach 20 Dienstjahren?;1;True;;38.47;35.17;3807;289;0.0;0;;True;True;;;Nach 20 Dienstjahren erhält man am Universitätsspital Basel ein Dienstaltersgeschenk in Höhe des Monatslohns von einer halben oder in Tagen 10.;True;True;;;"Am Kantonsspital Baselland erhält man nach 20 Dienstjahren eine Treuprämie von CHF 3'000.--; die Auszahlung erfolgt entsprechend dem Beschäftigungsgrad der letzten 5 Dienstjahre."
3;nachbarthema;Wie ist der Vaterschaftsurlaub geregelt?;1;True;;36.9;33.8;2660;286;0.0;0;;True;True;;;Der Vaterschaftsurlaub beträgt 10 Tage. Wenn vom Mitarbeiter gewünscht und betrieblich möglich, wird zusätzlich zu diesen 10 Tagen ein unbezahlter Urlaub von bis zu 20 Tagen gewährt, welcher in der Regel im 1. Lebensjahr des Kindes bezogen werden muss.;False;True;10|zehn;zwölf Monaten|12 Monaten;"Den Mitarbeitenden wird in den ersten zwei Jahren nach der Geburt eines Kindes auf Gesuch hin unbezahlter Urlaub bis zu zwölf Monaten gewährt. Der Urlaub kann von der Mutter oder vom Vater bezogen werden; sind beide Eltern beim Arbeitgeber angestellt, kann der Urlaub auch zwischen den Eltern aufgeteilt werden."
4;nachbarthema;Wie lange ist die Kündigungsfrist während der Probezeit?;2;True;;59.07;55.95;5341;537;0.0;0;;True;True;;3 Monate|drei Monate;Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Die Kündigungsfrist während der Probezeit beträgt 7 Tage, jeweils auf das Ende einer Kalenderwoche.;True;True;;;Für alle Arbeitsverhältnisse gelten die ersten drei Monate als Probezeit. Während dieser Zeit kann der Einzelarbeitsvertrag beidseitig jederzeit unter Einhaltung einer Kündigungsfrist von sieben Kalendertagen gekündigt werden.
5;beide;Gilt der GAV für Praktikanten?;1;True;;31.82;28.63;3134;207;0.0;0;;True;True;;;Der GAV gilt beim Universitätsspital Basel nicht für Personal in Ausbildung und Praktikanten, sondern für diese gelten die einschlägigen Ausbildungsbestimmungen und die gesetzlichen Grundlagen des Berufsbildungsgesetzes.;True;True;;;Beim Kantonsspital Baselland gilt der GAV nicht für Praktikanten/Praktikantinnen.
6;beide;Wie lange dauert die Probezeit?;1;True;;30.97;27.87;2548;212;0.0;0;;True;True;;;Die ersten 3 Monate des Arbeitsverhältnisses gelten als Probezeit. Eine Verlängerung um maximal weitere 3 Monate kann schriftlich im gegenseitigen Einvernehmen vereinbart werden.;True;True;;;Für alle Arbeitsverhältnisse gelten die ersten drei Monate als Probezeit.
7;beide;Wie lange ist die Kündigungsfrist nach der Probezeit?;3;False;Nach Ablauf der Probezeit betragen die Fristen für die Kündigung des Arbeitsverhältnisses für beide Vertragsparteien im ersten Anstellungsjahr 1 Monat und ab zweitem Anstellungsjahr 3 Monate.;101.8;98.46;8275;1049;0.0;0;;True;True;;;Nach Ablauf der Probezeit betragen die Fristen für die Kündigung des Arbeitsverhältnisses für beide Vertragsparteien im ersten Anstellungsjahr 1 Monat und ab zweitem Anstellungsjahr 3 Monate. Im Anstellungsvertrag kann eine längere Kündigungsfrist, maximal aber 6 Monate, vereinbart werden. Die Kündigung kann jeweils auf Ende eines Monates erfolgen, sofern kein besonderer Kündigungstermin vereinbart wurde.;True;True;;;Nach Ablauf der Probezeit kann das Arbeitsverhältnis von beiden Seiten mit einer Frist von drei Monaten, jeweils auf ein Monatsende gekündigt werden. Die Kündigung muss am letzten Werktag vor Beginn der Kündigungsfrist von der Gegenseite empfangen sein.
8;beide;Wie viele Ferientage habe ich pro Jahr?;2;True;;101.11;97.51;6065;1071;0.0;0;;True;True;;;Der Ferienanspruch beträgt grundsätzlich 25 Arbeitstage pro Kalenderjahr. Er erhöht sich im Kalenderjahr, in welchem das 50. Altersjahr vollendet wird, auf 28 Arbeitstage und im Kalenderjahr, in dem das 60. Altersjahr vollendet wird, auf 32 Arbeitstage. Bei Arbeitseintritt oder -austritt im Laufe des Kalenderjahres ist die Feriendauer anteilig zu bemessen. Bei Arbeitsunfähigkeit werden ab dem 4. Monat die Ferien um je 1/12 pro Abwesenheitsmonat gekürzt.;True;True;;;"Der Ferienanspruch pro Kalenderjahr beträgt: bis 20 Jahre 30 Arbeitstage; 21 bis 49 Jahre: 25 Arbeitstage; 50 bis 59 Jahre: 27 Arbeitstage; 60 bis Pensionierung: 30 Arbeitstage. Massgebend ist das Kalenderjahr, in dem das jeweilige Altersjahr vollendet wird. Für Feiertage und arbeitsfreie Tage gilt die Regelung am Arbeitsort. Die Mitarbeitenden haben Anspruch auf elf Feiertage/arbeitsfreie Tage pro Jahr. Feiertage/arbeitsfreie Tage, die in die Ferien fallen, können nachbezogen werden. Feiertage sind den Sonntagen gleichgestellt. Fallen Feiertage/arbeitsfreie Tage in die Zeit von bezahltem oder unbezahltem Urlaub, von öffentlicher Dienstleistung (wie Militärdienst, Schutzdienst, Zivildienst), von Unfall, Krankheit, Schwangerschaft oder Mutterschaft, so können sie nicht nachbezogen werden. Die Ferien sind im gegenseitigen Einvernehmen frühzeitig festzulegen. Mindestens zwei Wochen der jährlich zustehenden Ferien sind zusammenhängend zu beziehen. Der Ferienanspruch wird für das Kalenderjahr berechnet. Im Eintritts- und Austrittsjahr berechnet sich der Anspruch nach der Dauer des Arbeitsverhältnisses, gerundet auf einen halben Tag. Ein Übertrag von Ferienguthaben auf das neue Jahr ist nur im Ausnahmefall mit Zustimmung der Anstellungsinstanz möglich. Übertragene Ferien sind bis zum 30. April im Folgejahr zu beziehen."
9;beide;Habe ich Anspruch auf einen dreizehnten Monatslohn?;1;True;;38.78;35.42;2514;305;0.0;0;;True;True;;;Der Jahreslohn wird in 13 Monatslöhnen ausbezahlt. Mitarbeitende, die im Laufe eines Kalenderjahres ihre Tätigkeit aufnehmen oder aufgeben, haben Anspruch pro rata temporis auf den 13. Monatslohn.;True;True;;;Die Mitarbeitenden haben Anspruch auf einen 13. Monatslohn, der jeweils mit dem Novemberlohn zur Auszahlung gelangt. Im Eintritts- und im Austrittsjahr besteht ein anteilmässiger Anspruch entsprechend der effektiven Dauer des Arbeitsverhältnisses im betreffenden Kalenderjahr.
10;beide;Wie lange wird der Lohn bei Krankheit weiterbezahlt?;1;True;;43.19;39.85;3295;359;0.0;0;;True;True;;;Bei Arbeitsunfähigkeit infolge Krankheit stellt der Arbeitgeber für insgesamt 730 Tage die Lohnfortzahlung sicher. Diese beträgt während der Dauer der Anstellung 100% des vertraglich vereinbarten Lohnes (Nettolohnprinzip), danach 80%. Beim befristeten Arbeitsverhältnis besteht die Lohnfortzahlung nur dann, wenn das Arbeitsverhältnis für mehr als 6 Monate eingegangen wurde oder mehr als 6 Monate gedauert hat.;True;True;;;Bei krankheitsbedingter Abwesenheit erhalten die Mitarbeitenden ein Krankentaggeld in der Höhe von 100% des Nettolohnes (zuzüglich allfälliger Sozialzulagen) ausbezahlt. Das Taggeld wird für 730 Tage ab Beginn einer Krankheit gewährt, sofern die Krankheit nicht vorsätzlich oder grobfahrlässig verursacht worden ist.
11;beide;Wie hoch ist die Abfindung bei einer Kündigung?;3;False;Abgangsentschädigungen müssen vom CEO bewilligt werden.;106.11;102.71;8340;1103;0.0;0;;True;True;;;Eine Abfindung wird im Falle einer ordentlichen Kündigung gem. 2.3.2 b. ausgerichtet. Bei einer Auflösung des Arbeitsverhältnisses im gegenseitigen Einvernehmen gem. 2.3.7 kann ebenfalls eine Abfindung ausgerichtet werden. Als Berechnungskriterien für eine Abfindung kommen Lebensalter, Anstellungsdauer sowie die individuellen sozialen Verhältnisse der betroffenen Person zur Anwendung.;True;True;zwölf Monatslöhne|12 Monatslöhne | maximal;;Wenn das Arbeitsverhältnis im gegenseitigen Einvernehmen aufgelöst wird (Ziff. 10.9), so kann eine Abgangsentschädigung zugesprochen werden. Abgangsentschädigungen müssen vom CEO bewilligt werden.
12;beide;Darf ich eine Nebenbeschäftigung ausüben?;1;True;;46.12;42.88;3867;381;0.0;0;;True;True;;;Mitarbeitende des Universitätsspitals Basel müssen ihre Führungsverantwortlichen rechtzeitig über die Aufnahme einer geplanten oder Änderung einer bestehenden Nebenbeschäftigung orientieren. Die Ausübung einer Nebenbeschäftigung ist bewilligungspflichtig, wenn die Aufgabenerfüllung dadurch beeinträchtigt werden könnte, eine Interessenskollision besteht oder Arbeitszeit in Anspruch genommen wird. Die Anstellungsinstanz kann die Bewilligung einer Nebenbeschäftigung mit Auflagen verbinden.;True;True;;;Am Kantonsspital Baselland sind entgeltliche Beschäftigungen grundsätzlich erlaubt, solange sie nicht den Interessen des Arbeitgebers zuwider laufen. Jede entgeltliche Beschäftigung ausserhalb des Arbeitgebers ist rechtzeitig und vollständig mitzuteilen und grundsätzlich bewilligungspflichtig, solange sie die berufliche Leistungsfähigkeit nicht beeinträchtigt.
13;nur_eines;Zählt die Umkleidezeit als Arbeitszeit?;1;True;;31.43;28.24;3636;198;0.0;0;;True;True;Arbeitszeitreglement;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;;True;;;Die Belegstellen des Kantonsspitals Baselland geben zu dieser Frage keine Auskunft.
14;nur_eines;Habe ich Anspruch auf ein Arbeitszeugnis?;1;True;;35.91;32.53;3622;257;0.0;0;;;True;;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;True;True;;;Mitarbeitende erhalten auf Verlangen ein Zwischenzeugnis und ein Schlusszeugnis, das sich über die Art und Dauer des Arbeitsverhältnisses sowie über ihre Leistung und ihr Verhalten ausspricht. Das Zwischenzeugnis ist innert Monatsfrist auszustellen, das Schlusszeugnis spätestens am letzten Arbeitstag.
15;nur_eines;Darf ich das Geschäftsnotebook privat nutzen?;1;True;;32.23;28.97;2778;211;0.0;0;;;True;;;Die Belegstellen dieses Spitals geben zu dieser Frage keine Auskunft.;False;False;ICT | Reglement;;Die Belegstellen dieses Spitals geben zu dieser Frage keine Auskunft.
16;nur_eines;Bekomme ich eine Treueprämie?;1;True;;37.57;34.29;3350;276;0.0;0;;;False;;;Der Arbeitgeber honoriert langjährige Betriebszugehörigkeit durch die Ausrichtung von Dienstaltersgeschenken, welche in Form von Monatslohn oder Tagen gewährt werden.;True;True;CHF;;Mitarbeitende erhalten Treuprämien in Abhängigkeit vom Dienstalter, wobei die Höhe je nach Dienstjahren variiert. Zusätzlich können für ausserordentliche Leistungen oder spezielle Arbeiten einmalige Prämien ausgerichtet werden.
17;keines;Habe ich Anspruch auf Homeoffice?;1;True;;32.88;29.8;3858;217;0.0;0;;;True;;;Die Belegstellen des Universitätsspitals Basel geben zu dieser Frage keine Auskunft.;;True;;;Die Belegstellen des Kantonsspitals Baselland geben zu dieser Frage keine Auskunft.
